CSA CBSA  Name                                   Total 1 Unit 2 Units   Units  or more  or more
999 10180 Abilene, TX                             357     335      22       0       0       0
184 10420 Akron, OH                              1210    1011       8      12     179       2
999 10500 Albany, GA                              188     170       0       3      15       3
440 10540 Albany, OR                              540     446       2       0      92       9
104 10580 Albany-Schenectady-Troy,* NY           2239    1231      30     121     857      48
106 10740 Albuquerque,* NM                       2186    2086       4      21      75      13
999 10780 Alexandria, LA                          305     289      16       0       0       0
408 10900 Allentown-Bethlehem-Easton, PA-NJ      1246    1082       2       0     162      13
999 11020 Altoona, PA                             101     101       0       0       0       0
108 11100 Amarillo, TX                            750     637      12       0     101       1
218 11180 Ames, IA                                626     273      10       3     340      12
999 11260 Anchorage,* AK                         1259     938      62      51     208      20
220 11460 Ann Arbor, MI                           805     652      10      27     116      12
999 11500 Anniston-Oxford-Jacksonville, AL         70      66       0       4       0       0
118 11540 Appleton, WI                            987     781      62       0     144      12
120 11700 Asheville, NC                          2805    2233       4       0     568      35
122 12020 Athens-Clarke County, GA               1069     729       0       8     332      17
122 12060 Atlanta-Sandy Springs-Roswell, GA     39441   26506      98      87   12750     253
428 12100 Atlantic City-Hammonton,* NJ            833     349       2       0     482      18
194 12220 Auburn-Opelika,* AL                    1131    1036      16      32      47       8
999 12260 Augusta-Richmond County, GA-SC         2867    2584       2      33     248      18
999 12420 Austin-Round Rock, TX                 30035   17030     100      65   12840     371
999 12540 Bakersfield, CA                        2452    2073     108      65     206      25
548 12580 Baltimore-Columbia-Towson,* MD         9287    5361       6       0    3920      58
999 12620 Bangor, ME                              261     228       6      15      12       1
148 12700 Barnstable Town, MA                    1005     518      10      69     408       4
999 12940 Baton Rouge,* LA                       3922    3509      12       0     401      10
310 12980 Battle Creek, MI                         54      54       0       0       0       0
474 13020 Bay City, MI                             85      85       0       0       0       0
999 13140 Beaumont-Port Arthur, TX               1404    1200      60       4     140       6
999 13220 Beckley,* WV                             86      86       0       0       0       0
999 13380 Bellingham, WA                         1464     767      76      42     579      34
140 13460 Bend-Redmond,* OR                      1983    1818      56       3     106       6
999 13740 Billings, MT                           1476    1158      20       0     298      11
999 13780 Binghamton, NY                          315      93       0      16     206      16
142 13820 Birmingham-Hoover,* AL                 3025    2698      24       4     299      25
999 13900 Bismarck, ND                            533     383      26      15     109       4
999 13980 Bl                                      566     435       4       0     127       7
145 14010 Bloomington, IL                         220     114       0       4     102       7
144 14020 Bloomington,* IN                        417     255      56       0     106       7
146 14100 Bloomsburg-Berwick,* PA                 194      83       0       0     111       7
147 14260 Boise City,* ID                        8917    6923      64     293    1637     117
148 14460 Boston-Cambridge-Newton,* MA-NH       14183    4930     546     343    8364     297
216 14500 Boulder, CO                            2954     899      12      30    2013      84
150 14540 Bowling Green, KY                      2199     783      14      60    1342     103
500 14740 Bremerton-Silverdale,* WA              1149     903      22       9     215      13
408 14860 Bridgeport-Stamford-Norwalk,* CT       1097     753      30      27     287      16
154 15180 Brownsville-Harlingen, TX              1487    1392      56       7      32       5
999 15260 Brunswick, GA                           652     640       0       0      12       1
160 15380 Bu                                     1453     975      24      22     432      30
268 15500 Burlington, NC                         1419    1084       4       0     331      21
999 15540 Burlington-South Burlington, VT        1164     447      54      60     603      19
548 15680 California-Lexington Park,* MD          931     871       0       0      60       6
184 15940 Canton-Massillon, OH                    528     413      16      27      72      12
